Id,Label,Degree,Betweenness,Expression
72585,Lypd1,18,3315,0
11990,Atrn,16,9588.88,0
12142,Odc1,15,3671,0
381077,Ccdc78,12,4145,0
208727,Fam161a,12,2178,0
28185,Tomm70a,10,7240.74,0
97165,Hmgb2,10,5647,0
11908,Atf1,8,6648,0
52838,Dnlz,8,2144,0
66849,Ppp1r2,7,5181.5,0
66262,Ing5,7,2349,0
108937,Rnf169,7,1667.74,0
MIMAT0000159,mmu-miR-149-5p,6,9157.61,0
MIMAT0004750,mmu-miR-425-5p,6,4929.14,0
18771,Pknox1,6,1005,0
MIMAT0004651,mmu-miR-340-5p,6,914.31,0
76959,Chmp5,5,3224,0
MIMAT0000533,mmu-miR-26a-5p,5,903.5,0
18263,Slc27a5,5,806,0
60533,Cd274,5,204.5,0
74002,Psd2,5,204.5,0
14314,Fstl1,4,5517.36,0
MIMAT0000526,mmu-miR-15a-5p,4,3361.92,0
241308,Ralgps1,4,1665.83,0
15568,Elavl1,4,1390,0
22234,Ugcg,4,1203.94,0
MIMAT0000375,mmu-miR-297a-5p,4,1002,0
66684,Tceal8,4,606,0
22634,Prdm1,4,606,0
245450,Slitrk2,4,606,0
216543,Cep68,4,606,0
MIMAT0005845,mmu-miR-466k,4,247,0
MIMAT0017325,mmu-miR-466i-5p,4,247,0
MIMAT0004930,mmu-miR-466d-5p,4,247,0
MIMAT0017322,mmu-miR-466l-5p,4,247,0
20619,Snap23,4,1.5,0
MIMAT0000142,mmu-miR-9-5p,3,6813.17,0
MIMAT0000248,mmu-miR-30e-5p,3,3863,0
MIMAT0000148,mmu-miR-136-5p,3,2326.86,0
MIMAT0000513,mmu-miR-19b-3p,3,301.5,0
MIMAT0000219,mmu-miR-24-3p,3,207.33,0
MIMAT0003499,mmu-miR-709,2,5504,0
MI0009924,mmu-mir-1935,2,3348,0
MIMAT0009433,mmu-miR-1960,2,3348,0
320506,Lmbrd2,2,3330.14,0
MIMAT0014803,mmu-miR-1264-3p,2,2483,0
MIMAT0000239,mmu-miR-206-3p,2,2304,0
MIMAT0014834,mmu-miR-3064-5p,2,2070,0
MIMAT0014879,mmu-miR-3085-3p,2,2070,0
