#node	identifier	category	term ID	term description
Acsl3	10090.ENSMUSP00000045291	GO Process	GO:0001676	Long-chain fatty acid metabolic process
Acsl3	10090.ENSMUSP00000045291	GO Process	GO:0006082	Organic acid metabolic process
Acsl3	10090.ENSMUSP00000045291	GO Process	GO:0006139	Nucleobase-containing compound metabolic process
Acsl3	10090.ENSMUSP00000045291	GO Process	GO:0006163	Purine nucleotide metabolic process
Acsl3	10090.ENSMUSP00000045291	GO Process	GO:0006629	Lipid metabolic process
Acsl3	10090.ENSMUSP00000045291	GO Process	GO:0006631	Fatty acid metabolic process
Acsl3	10090.ENSMUSP00000045291	GO Process	GO:0006633	Fatty acid biosynthetic process
Acsl3	10090.ENSMUSP00000045291	GO Process	GO:0006637	acyl-CoA metabolic process
Acsl3	10090.ENSMUSP00000045291	GO Process	GO:0006725	Cellular aromatic compound metabolic process
Acsl3	10090.ENSMUSP00000045291	GO Process	GO:0006753	Nucleoside phosphate metabolic process
Acsl3	10090.ENSMUSP00000045291	GO Process	GO:0006790	Sulfur compound metabolic process
Acsl3	10090.ENSMUSP00000045291	GO Process	GO:0006793	Phosphorus metabolic process
Acsl3	10090.ENSMUSP00000045291	GO Process	GO:0006796	Phosphate-containing compound metabolic process
Acsl3	10090.ENSMUSP00000045291	GO Process	GO:0006807	Nitrogen compound metabolic process
Acsl3	10090.ENSMUSP00000045291	GO Process	GO:0006810	Transport
Acsl3	10090.ENSMUSP00000045291	GO Process	GO:0006869	Lipid transport
Acsl3	10090.ENSMUSP00000045291	GO Process	GO:0007275	Multicellular organism development
Acsl3	10090.ENSMUSP00000045291	GO Process	GO:0007399	Nervous system development
Acsl3	10090.ENSMUSP00000045291	GO Process	GO:0008152	Metabolic process
Acsl3	10090.ENSMUSP00000045291	GO Process	GO:0008610	Lipid biosynthetic process
Acsl3	10090.ENSMUSP00000045291	GO Process	GO:0009058	Biosynthetic process
Acsl3	10090.ENSMUSP00000045291	GO Process	GO:0009117	Nucleotide metabolic process
Acsl3	10090.ENSMUSP00000045291	GO Process	GO:0009150	Purine ribonucleotide metabolic process
Acsl3	10090.ENSMUSP00000045291	GO Process	GO:0009259	Ribonucleotide metabolic process
Acsl3	10090.ENSMUSP00000045291	GO Process	GO:0009889	Regulation of biosynthetic process
