#node	identifier	node_degree
Acsl3	10090.ENSMUSP00000045291	2
Actr2	10090.ENSMUSP00000000137	2
Arhgap31	10090.ENSMUSP00000023487	0
Arhgef10l	10090.ENSMUSP00000101425	0
Arl1	10090.ENSMUSP00000111942	0
Atad1	10090.ENSMUSP00000157842	2
Atf1	10090.ENSMUSP00000023769	0
Atp13a4	10090.ENSMUSP00000138479	0
Atp5md	10090.ENSMUSP00000158561	3
Atrn	10090.ENSMUSP00000028781	0
Bcas2	10090.ENSMUSP00000005830	3
Bcl10	10090.ENSMUSP00000029842	0
Bloc1s2	10090.ENSMUSP00000078042	0
Ccdc59	10090.ENSMUSP00000020049	0
Ccdc78	10090.ENSMUSP00000093155	0
Cct2	10090.ENSMUSP00000036288	4
Cd274	10090.ENSMUSP00000016640	2
Cdca4	10090.ENSMUSP00000058901	0
Cenpa	10090.ENSMUSP00000122831	4
Cep68	10090.ENSMUSP00000054943	0
Chmp5	10090.ENSMUSP00000030128	1
Clec16a	10090.ENSMUSP00000065423	0
Clnk	10090.ENSMUSP00000128473	0
Coa3	10090.ENSMUSP00000017332	1
Cox11	10090.ENSMUSP00000020851	3
Cox6b1	10090.ENSMUSP00000075150	7
Ctr9	10090.ENSMUSP00000005749	3
Ddx1	10090.ENSMUSP00000065987	6
Dnajb9	10090.ENSMUSP00000015049	1
Dnlz	10090.ENSMUSP00000028295	1
Dstn	10090.ENSMUSP00000099461	1
Eif5	10090.ENSMUSP00000126825	2
Elavl1	10090.ENSMUSP00000096549	4
Eloc	10090.ENSMUSP00000139480	4
Eny2	10090.ENSMUSP00000052905	3
Eps15l1	10090.ENSMUSP00000129739	2
Exo5	10090.ENSMUSP00000030375	0
Fam161a	10090.ENSMUSP00000158891	0
Fam162a	10090.ENSMUSP00000004057	0
Fstl1	10090.ENSMUSP00000110411	1
Gar1	10090.ENSMUSP00000029643	0
Gas6	10090.ENSMUSP00000033828	0
Glmn	10090.ENSMUSP00000077168	1
Gngt2	10090.ENSMUSP00000047586	2
Gspt1	10090.ENSMUSP00000078940	2
H13	10090.ENSMUSP00000086460	0
Hdac4	10090.ENSMUSP00000095249	3
Hmgb2	10090.ENSMUSP00000065940	1
Hnrnph2	10090.ENSMUSP00000108828	2
Icmt	10090.ENSMUSP00000043390	0
Idh3b	10090.ENSMUSP00000028892	2
Ikzf4	10090.ENSMUSP00000114404	0
Ing5	10090.ENSMUSP00000027505	1
Kdm4b	10090.ENSMUSP00000025036	0
Lipi	10090.ENSMUSP00000053447	0
Lmbrd2	10090.ENSMUSP00000154020	0
Loxl1	10090.ENSMUSP00000057406	1
Lrrc59	10090.ENSMUSP00000021239	0
Lypd1	10090.ENSMUSP00000125149	0
Matr3	10090.ENSMUSP00000125761	4
Mtmr1	10090.ENSMUSP00000015358	1
Naaladl1	10090.ENSMUSP00000044231	0
Nabp1	10090.ENSMUSP00000027279	0
Nars	10090.ENSMUSP00000157402	2
Ndfip1	10090.ENSMUSP00000158314	1
Ndfip2	10090.ENSMUSP00000137875	1
Ndufa5	10090.ENSMUSP00000023851	6
Ndufab1	10090.ENSMUSP00000033157	6
Nudt13	10090.ENSMUSP00000022343	0
Odc1	10090.ENSMUSP00000128661	2
Ovgp1	10090.ENSMUSP00000000573	1
Pdzd11	10090.ENSMUSP00000015812	1
Pecam1	10090.ENSMUSP00000102408	1
Pknox1	10090.ENSMUSP00000094966	2
Plaa	10090.ENSMUSP00000102724	5
Plagl1	10090.ENSMUSP00000112847	0
Pnpla8	10090.ENSMUSP00000043286	2
Polr2k	10090.ENSMUSP00000051968	9
Ppil1	10090.ENSMUSP00000024802	2
Ppp1r2	10090.ENSMUSP00000060118	0
Prdm1	10090.ENSMUSP00000101129	1
Psd2	10090.ENSMUSP00000111381	0
Psmd6	10090.ENSMUSP00000022256	7
Ralgps1	10090.ENSMUSP00000088563	0
Ranbp2	10090.ENSMUSP00000003310	3
Ranbp3	10090.ENSMUSP00000002445	0
Rbbp7	10090.ENSMUSP00000033720	6
Rbm15	10090.ENSMUSP00000054424	1
Ribc1	10090.ENSMUSP00000026288	0
Rnf169	10090.ENSMUSP00000079631	0
Rpa3	10090.ENSMUSP00000012627	2
Rpl29	10090.ENSMUSP00000117834	2
Rxra	10090.ENSMUSP00000076491	2
Sat1	10090.ENSMUSP00000026318	2
Serpinc1	10090.ENSMUSP00000068971	1
Slc19a2	10090.ENSMUSP00000037561	0
Slc22a3	10090.ENSMUSP00000024595	0
Slc25a5	10090.ENSMUSP00000016463	3
Slc27a5	10090.ENSMUSP00000032539	2
Slitrk2	10090.ENSMUSP00000130057	0
Slu7	10090.ENSMUSP00000020681	2
Smg9	10090.ENSMUSP00000002280	0
Snap23	10090.ENSMUSP00000112138	2
Spatc1	10090.ENSMUSP00000073805	0
Sptbn1	10090.ENSMUSP00000006629	0
Sulf2	10090.ENSMUSP00000104872	0
Sun3	10090.ENSMUSP00000045199	0
Supv3l1	10090.ENSMUSP00000020273	1
Swi5	10090.ENSMUSP00000109027	0
Tab3	10090.ENSMUSP00000039668	0
Taf12	10090.ENSMUSP00000030731	3
Taf4	10090.ENSMUSP00000038610	3
Tbc1d10a	10090.ENSMUSP00000136453	0
Tceal8	10090.ENSMUSP00000129591	0
Tcp1	10090.ENSMUSP00000116108	9
Tmem60	10090.ENSMUSP00000110914	1
Tomm70a	10090.ENSMUSP00000129186	4
Trappc3	10090.ENSMUSP00000030660	1
Ttc8	10090.ENSMUSP00000078148	0
Txndc12	10090.ENSMUSP00000030296	0
Ubap1	10090.ENSMUSP00000072643	1
Ubqln2	10090.ENSMUSP00000056888	5
Ugcg	10090.ENSMUSP00000030074	0
Uqcrc2	10090.ENSMUSP00000033176	8
Urod	10090.ENSMUSP00000030446	0
Vcpip1	10090.ENSMUSP00000051248	1
Wdr62	10090.ENSMUSP00000103825	0
Xrra1	10090.ENSMUSP00000035929	0
Zfp595	10090.ENSMUSP00000126862	0
Zfp661	10090.ENSMUSP00000105995	0
Zkscan16	10090.ENSMUSP00000103178	0
Zswim9	10090.ENSMUSP00000104172	0
