#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Acsl3	Slc27a5	10090.ENSMUSP00000045291	10090.ENSMUSP00000032539	0	0	0	0	0	0.102	0	0.427	0.463
Acsl3	Snap23	10090.ENSMUSP00000045291	10090.ENSMUSP00000112138	0	0	0	0	0.065	0	0	0.467	0.480
Actr2	Eps15l1	10090.ENSMUSP00000000137	10090.ENSMUSP00000129739	0	0	0	0	0.085	0.180	0	0.282	0.414
Actr2	Dstn	10090.ENSMUSP00000000137	10090.ENSMUSP00000099461	0	0	0	0	0.094	0.261	0	0.500	0.636
Atad1	Plaa	10090.ENSMUSP00000157842	10090.ENSMUSP00000102724	0	0	0	0	0.171	0.378	0	0.234	0.570
Atad1	Tomm70a	10090.ENSMUSP00000157842	10090.ENSMUSP00000129186	0	0	0	0	0.114	0.088	0	0.498	0.559
Atp5md	Ndufa5	10090.ENSMUSP00000158561	10090.ENSMUSP00000023851	0	0	0	0	0.812	0.304	0	0.335	0.905
Atp5md	Ndufab1	10090.ENSMUSP00000158561	10090.ENSMUSP00000033157	0	0	0	0	0.504	0	0	0.278	0.627
Atp5md	Cox6b1	10090.ENSMUSP00000158561	10090.ENSMUSP00000075150	0	0	0	0	0.247	0.307	0	0.244	0.571
Bcas2	Slu7	10090.ENSMUSP00000005830	10090.ENSMUSP00000020681	0	0	0	0	0.108	0.590	0	0.109	0.646
Bcas2	Rpa3	10090.ENSMUSP00000005830	10090.ENSMUSP00000012627	0	0	0	0	0.133	0	0.720	0	0.747
Bcas2	Ppil1	10090.ENSMUSP00000005830	10090.ENSMUSP00000024802	0	0	0	0	0.131	0.831	0.720	0.136	0.959
Cct2	Psmd6	10090.ENSMUSP00000036288	10090.ENSMUSP00000022256	0	0	0	0	0.455	0	0	0.047	0.458
Cct2	Gngt2	10090.ENSMUSP00000036288	10090.ENSMUSP00000047586	0	0	0	0	0	0	0.500	0	0.499
Cct2	Ddx1	10090.ENSMUSP00000036288	10090.ENSMUSP00000065987	0	0	0	0	0.408	0.078	0	0.259	0.560
Cct2	Tcp1	10090.ENSMUSP00000036288	10090.ENSMUSP00000116108	0	0	0	0.820	0.989	0.989	0.900	0.751	0.999
Cd274	Prdm1	10090.ENSMUSP00000016640	10090.ENSMUSP00000101129	0	0	0	0	0.079	0	0	0.489	0.509
Cd274	Pecam1	10090.ENSMUSP00000016640	10090.ENSMUSP00000102408	0	0	0	0	0.047	0	0	0.530	0.532
Cenpa	Ctr9	10090.ENSMUSP00000122831	10090.ENSMUSP00000005749	0	0	0	0	0.049	0.372	0	0.116	0.425
Cenpa	Rbbp7	10090.ENSMUSP00000122831	10090.ENSMUSP00000033720	0	0	0	0	0.099	0.362	0.500	0.625	0.878
Cenpa	Polr2k	10090.ENSMUSP00000122831	10090.ENSMUSP00000051968	0	0	0	0	0.080	0.415	0	0.050	0.444
Cenpa	Hmgb2	10090.ENSMUSP00000122831	10090.ENSMUSP00000065940	0	0	0	0	0.293	0.117	0	0.146	0.421
Chmp5	Ubap1	10090.ENSMUSP00000030128	10090.ENSMUSP00000072643	0	0	0	0	0.050	0	0	0.643	0.646
Coa3	Cox6b1	10090.ENSMUSP00000017332	10090.ENSMUSP00000075150	0	0	0	0	0.289	0	0	0.264	0.455
Cox11	Ndufab1	10090.ENSMUSP00000020851	10090.ENSMUSP00000033157	0	0	0	0	0.126	0	0	0.414	0.466
Cox11	Cox6b1	10090.ENSMUSP00000020851	10090.ENSMUSP00000075150	0	0	0	0	0.047	0	0	0.543	0.546
Cox11	Uqcrc2	10090.ENSMUSP00000020851	10090.ENSMUSP00000033176	0.116	0	0	0	0.074	0.135	0	0.540	0.631
Cox6b1	Ovgp1	10090.ENSMUSP00000075150	10090.ENSMUSP00000000573	0	0	0	0	0.119	0.295	0	0.126	0.409
Cox6b1	Coa3	10090.ENSMUSP00000075150	10090.ENSMUSP00000017332	0	0	0	0	0.289	0	0	0.264	0.455
Cox6b1	Cox11	10090.ENSMUSP00000075150	10090.ENSMUSP00000020851	0	0	0	0	0.047	0	0	0.543	0.546
Cox6b1	Ndufa5	10090.ENSMUSP00000075150	10090.ENSMUSP00000023851	0	0	0	0	0.567	0.680	0	0.591	0.938
Cox6b1	Ndufab1	10090.ENSMUSP00000075150	10090.ENSMUSP00000033157	0	0	0	0	0.493	0.678	0	0.398	0.893
Cox6b1	Uqcrc2	10090.ENSMUSP00000075150	10090.ENSMUSP00000033176	0	0	0	0	0.557	0.956	0.720	0.557	0.997
Cox6b1	Atp5md	10090.ENSMUSP00000075150	10090.ENSMUSP00000158561	0	0	0	0	0.247	0.307	0	0.244	0.571
Ctr9	Cenpa	10090.ENSMUSP00000005749	10090.ENSMUSP00000122831	0	0	0	0	0.049	0.372	0	0.116	0.425
Ctr9	Eloc	10090.ENSMUSP00000005749	10090.ENSMUSP00000139480	0	0	0	0	0.058	0.098	0.720	0.099	0.756
Ctr9	Polr2k	10090.ENSMUSP00000005749	10090.ENSMUSP00000051968	0	0	0	0	0.060	0.822	0	0.070	0.830
Ddx1	Psmd6	10090.ENSMUSP00000065987	10090.ENSMUSP00000022256	0	0	0	0	0.589	0.077	0	0.045	0.606
Ddx1	Cct2	10090.ENSMUSP00000065987	10090.ENSMUSP00000036288	0	0	0	0	0.408	0.078	0	0.259	0.560
Ddx1	Nars	10090.ENSMUSP00000065987	10090.ENSMUSP00000157402	0	0	0	0	0.354	0.043	0	0.164	0.439
Ddx1	Matr3	10090.ENSMUSP00000065987	10090.ENSMUSP00000125761	0	0	0	0	0.178	0.097	0	0.505	0.601
Ddx1	Tcp1	10090.ENSMUSP00000065987	10090.ENSMUSP00000116108	0	0	0	0	0.575	0.078	0	0.076	0.607
Ddx1	Elavl1	10090.ENSMUSP00000065987	10090.ENSMUSP00000096549	0	0	0	0	0.198	0.055	0	0.581	0.654
Dnajb9	Pnpla8	10090.ENSMUSP00000015049	10090.ENSMUSP00000043286	0	0	0	0	0.136	0	0	0.375	0.437
Dnlz	Supv3l1	10090.ENSMUSP00000028295	10090.ENSMUSP00000020273	0	0	0	0	0.061	0	0	0.420	0.432
Dstn	Actr2	10090.ENSMUSP00000099461	10090.ENSMUSP00000000137	0	0	0	0	0.094	0.261	0	0.500	0.636
Eif5	Tcp1	10090.ENSMUSP00000126825	10090.ENSMUSP00000116108	0	0	0	0	0.354	0.098	0	0.120	0.442
Eif5	Tomm70a	10090.ENSMUSP00000126825	10090.ENSMUSP00000129186	0	0	0	0	0.446	0	0	0	0.446
Elavl1	Rbm15	10090.ENSMUSP00000096549	10090.ENSMUSP00000054424	0	0	0	0	0.064	0	0	0.490	0.502
Elavl1	Ddx1	10090.ENSMUSP00000096549	10090.ENSMUSP00000065987	0	0	0	0	0.198	0.055	0	0.581	0.654
Elavl1	Matr3	10090.ENSMUSP00000096549	10090.ENSMUSP00000125761	0	0	0	0	0.250	0.178	0	0.457	0.636
Elavl1	Hnrnph2	10090.ENSMUSP00000096549	10090.ENSMUSP00000108828	0	0	0	0	0.211	0	0	0.667	0.726
